code,상품명,1_메인컷,2_전신컷,3_측면또는후면,4_디테일컷,5_제품컷,컷구성판정,수정필요사항,승인여부,검수결과,수정필요사항,실물대조필요,우선검수순번,대표컷적합여부,A라인검수,슬림핏검수
ANC-4047,셔링리본 플레어 원피스,assets/products/ank/generated/ANC-4047/ANC-4047-main.jpg,assets/products/ank/generated/ANC-4047/ANC-4047-full.jpg,assets/products/ank/generated/ANC-4047/ANC-4047-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4047/ANC-4047-detail.jpg,assets/products/ank/generated/ANC-4047/ANC-4047-product.jpg,적합,슬림핏 적용후보 승인,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,47,검수필요,적용후보,승인
ANC-4048,배색카라 트임 원피스,assets/products/ank/generated/ANC-4048/ANC-4048-main.jpg,assets/products/ank/generated/ANC-4048/ANC-4048-full.jpg,assets/products/ank/generated/ANC-4048/ANC-4048-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4048/ANC-4048-detail.jpg,assets/products/ank/generated/ANC-4048/ANC-4048-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,48,검수필요,재검수,적용후보
ANC-4049,랩셔링 원피스,assets/products/ank/generated/ANC-4049/ANC-4049-main.jpg,assets/products/ank/generated/ANC-4049/ANC-4049-full.jpg,assets/products/ank/generated/ANC-4049/ANC-4049-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4049/ANC-4049-detail.jpg,assets/products/ank/generated/ANC-4049/ANC-4049-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,49,검수필요,재검수,적용후보
ANC-4050,레이스헴 플레어 원피스,assets/products/ank/generated/ANC-4050/ANC-4050-main.jpg,assets/products/ank/generated/ANC-4050/ANC-4050-full.jpg,assets/products/ank/generated/ANC-4050/ANC-4050-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4050/ANC-4050-detail.jpg,assets/products/ank/generated/ANC-4050/ANC-4050-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,50,검수필요,적용후보,재검수
ANC-4051,스퀘어넥 셔링 원피스,assets/products/ank/generated/ANC-4051/ANC-4051-main.jpg,assets/products/ank/generated/ANC-4051/ANC-4051-full.jpg,assets/products/ank/generated/ANC-4051/ANC-4051-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4051/ANC-4051-detail.jpg,assets/products/ank/generated/ANC-4051/ANC-4051-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,51,검수필요,재검수,적용후보
ANC-4052,레이스플레어 원피스,assets/products/ank/generated/ANC-4052/ANC-4052-main.jpg,assets/products/ank/generated/ANC-4052/ANC-4052-full.jpg,assets/products/ank/generated/ANC-4052/ANC-4052-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4052/ANC-4052-detail.jpg,assets/products/ank/generated/ANC-4052/ANC-4052-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,52,검수필요,적용후보,재검수
ANC-4053,러플숄더 원피스,assets/products/ank/generated/ANC-4053/ANC-4053-main.jpg,assets/products/ank/generated/ANC-4053/ANC-4053-full.jpg,assets/products/ank/generated/ANC-4053/ANC-4053-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4053/ANC-4053-detail.jpg,assets/products/ank/generated/ANC-4053/ANC-4053-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,53,검수필요,적용후보,재검수
ANC-4054,더블버튼 플레어 원피스,assets/products/ank/generated/ANC-4054/ANC-4054-main.jpg,assets/products/ank/generated/ANC-4054/ANC-4054-full.jpg,assets/products/ank/generated/ANC-4054/ANC-4054-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4054/ANC-4054-detail.jpg,assets/products/ank/generated/ANC-4054/ANC-4054-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,54,검수필요,적용후보,재검수
ANC-4055,오프숄더 셔링 원피스,assets/products/ank/generated/ANC-4055/ANC-4055-main.jpg,assets/products/ank/generated/ANC-4055/ANC-4055-full.jpg,assets/products/ank/generated/ANC-4055/ANC-4055-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4055/ANC-4055-detail.jpg,assets/products/ank/generated/ANC-4055/ANC-4055-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,55,검수필요,재검수,적용후보
ANC-4056,빅리본 플레어 원피스,assets/products/ank/generated/ANC-4056/ANC-4056-main.jpg,assets/products/ank/generated/ANC-4056/ANC-4056-full.jpg,assets/products/ank/generated/ANC-4056/ANC-4056-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4056/ANC-4056-detail.jpg,assets/products/ank/generated/ANC-4056/ANC-4056-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,56,검수필요,적용후보,재검수
ANC-4057,잔셔링 원피스,assets/products/ank/generated/ANC-4057/ANC-4057-main.jpg,assets/products/ank/generated/ANC-4057/ANC-4057-full.jpg,assets/products/ank/generated/ANC-4057/ANC-4057-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4057/ANC-4057-detail.jpg,assets/products/ank/generated/ANC-4057/ANC-4057-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,57,검수필요,재검수,적용후보
ANC-4058,더블버튼 플레어 원피스,assets/products/ank/generated/ANC-4058/ANC-4058-main.jpg,assets/products/ank/generated/ANC-4058/ANC-4058-full.jpg,assets/products/ank/generated/ANC-4058/ANC-4058-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4058/ANC-4058-detail.jpg,assets/products/ank/generated/ANC-4058/ANC-4058-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,58,검수필요,적용후보,재검수
ANC-4059,오프숄더 셔링 원피스,assets/products/ank/generated/ANC-4059/ANC-4059-main.jpg,assets/products/ank/generated/ANC-4059/ANC-4059-full.jpg,assets/products/ank/generated/ANC-4059/ANC-4059-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4059/ANC-4059-detail.jpg,assets/products/ank/generated/ANC-4059/ANC-4059-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,59,검수필요,재검수,적용후보
ANC-4060,레이스숄더 플레어 원피스,assets/products/ank/generated/ANC-4060/ANC-4060-main.jpg,assets/products/ank/generated/ANC-4060/ANC-4060-full.jpg,assets/products/ank/generated/ANC-4060/ANC-4060-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4060/ANC-4060-detail.jpg,assets/products/ank/generated/ANC-4060/ANC-4060-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,60,검수필요,적용후보,재검수
ANC-4061,스트라이프 셔링 원피스,assets/products/ank/generated/ANC-4061/ANC-4061-main.jpg,assets/products/ank/generated/ANC-4061/ANC-4061-full.jpg,assets/products/ank/generated/ANC-4061/ANC-4061-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4061/ANC-4061-detail.jpg,assets/products/ank/generated/ANC-4061/ANC-4061-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,61,검수필요,재검수,적용후보
ANC-4062,레이스브이넥 플레어 원피스,assets/products/ank/generated/ANC-4062/ANC-4062-main.jpg,assets/products/ank/generated/ANC-4062/ANC-4062-full.jpg,assets/products/ank/generated/ANC-4062/ANC-4062-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4062/ANC-4062-detail.jpg,assets/products/ank/generated/ANC-4062/ANC-4062-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,62,검수필요,적용후보,재검수
ANC-4063,셔링카라 원피스,assets/products/ank/generated/ANC-4063/ANC-4063-main.jpg,assets/products/ank/generated/ANC-4063/ANC-4063-full.jpg,assets/products/ank/generated/ANC-4063/ANC-4063-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4063/ANC-4063-detail.jpg,assets/products/ank/generated/ANC-4063/ANC-4063-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,63,검수필요,재검수,적용후보
ANC-4064,하트버튼 플레어 원피스,assets/products/ank/generated/ANC-4064/ANC-4064-main.jpg,assets/products/ank/generated/ANC-4064/ANC-4064-full.jpg,assets/products/ank/generated/ANC-4064/ANC-4064-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4064/ANC-4064-detail.jpg,assets/products/ank/generated/ANC-4064/ANC-4064-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,64,검수필요,적용후보,재검수
ANC-4065,레이스백 러플 원피스,assets/products/ank/generated/ANC-4065/ANC-4065-main.jpg,assets/products/ank/generated/ANC-4065/ANC-4065-full.jpg,assets/products/ank/generated/ANC-4065/ANC-4065-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4065/ANC-4065-detail.jpg,assets/products/ank/generated/ANC-4065/ANC-4065-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,65,검수필요,적용후보,재검수
ANC-4066,배색라인 플레어 원피스,assets/products/ank/generated/ANC-4066/ANC-4066-main.jpg,assets/products/ank/generated/ANC-4066/ANC-4066-full.jpg,assets/products/ank/generated/ANC-4066/ANC-4066-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4066/ANC-4066-detail.jpg,assets/products/ank/generated/ANC-4066/ANC-4066-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,66,검수필요,적용후보,재검수
ANC-4067,빅리본 셔링 원피스,assets/products/ank/generated/ANC-4067/ANC-4067-main.jpg,assets/products/ank/generated/ANC-4067/ANC-4067-full.jpg,assets/products/ank/generated/ANC-4067/ANC-4067-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4067/ANC-4067-detail.jpg,assets/products/ank/generated/ANC-4067/ANC-4067-product.jpg,적합,쇼룸용 5컷 생성 필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요,예,67,검수필요,적용후보,적용후보
ANC-4068,리본셔링 플레어 원피스,assets/products/ank/generated/ANC-4068/ANC-4068-main.jpg,assets/products/ank/generated/ANC-4068/ANC-4068-full.jpg,assets/products/ank/generated/ANC-4068/ANC-4068-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4068/ANC-4068-detail.jpg,assets/products/ank/generated/ANC-4068/ANC-4068-product.jpg,적합,쇼룸용 5컷 생성 필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요,예,68,검수필요,적용후보,적용후보
ANC-4069,랩셔링 스커트 원피스,assets/products/ank/generated/ANC-4069/ANC-4069-main.jpg,assets/products/ank/generated/ANC-4069/ANC-4069-full.jpg,assets/products/ank/generated/ANC-4069/ANC-4069-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4069/ANC-4069-detail.jpg,assets/products/ank/generated/ANC-4069/ANC-4069-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,69,검수필요,재검수,적용후보
ANC-4070,도트플레어 원피스,assets/products/ank/generated/ANC-4070/ANC-4070-main.jpg,assets/products/ank/generated/ANC-4070/ANC-4070-full.jpg,assets/products/ank/generated/ANC-4070/ANC-4070-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4070/ANC-4070-detail.jpg,assets/products/ank/generated/ANC-4070/ANC-4070-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,70,검수필요,적용후보,재검수
ANC-4071,셔츠카라 랩스커트 원피스,assets/products/ank/generated/ANC-4071/ANC-4071-main.jpg,assets/products/ank/generated/ANC-4071/ANC-4071-full.jpg,assets/products/ank/generated/ANC-4071/ANC-4071-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4071/ANC-4071-detail.jpg,assets/products/ank/generated/ANC-4071/ANC-4071-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,71,검수필요,재검수,적용후보
ANC-4072,플라워레이스 플레어 원피스,assets/products/ank/generated/ANC-4072/ANC-4072-main.jpg,assets/products/ank/generated/ANC-4072/ANC-4072-full.jpg,assets/products/ank/generated/ANC-4072/ANC-4072-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4072/ANC-4072-detail.jpg,assets/products/ank/generated/ANC-4072/ANC-4072-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,72,검수필요,적용후보,재검수
ANC-4073,드레이프셔링 원피스,assets/products/ank/generated/ANC-4073/ANC-4073-main.jpg,assets/products/ank/generated/ANC-4073/ANC-4073-full.jpg,assets/products/ank/generated/ANC-4073/ANC-4073-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4073/ANC-4073-detail.jpg,assets/products/ank/generated/ANC-4073/ANC-4073-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,73,검수필요,재검수,적용후보
ANC-4074,레이스칼라 플레어 원피스,assets/products/ank/generated/ANC-4074/ANC-4074-main.jpg,assets/products/ank/generated/ANC-4074/ANC-4074-full.jpg,assets/products/ank/generated/ANC-4074/ANC-4074-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4074/ANC-4074-detail.jpg,assets/products/ank/generated/ANC-4074/ANC-4074-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,74,검수필요,적용후보,재검수
ANC-4075,오프숄더 버튼 플레어 원피스,assets/products/ank/generated/ANC-4075/ANC-4075-main.jpg,assets/products/ank/generated/ANC-4075/ANC-4075-full.jpg,assets/products/ank/generated/ANC-4075/ANC-4075-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4075/ANC-4075-detail.jpg,assets/products/ank/generated/ANC-4075/ANC-4075-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,75,검수필요,적용후보,재검수
ANC-4076,스퀘어넥 플레어 원피스,assets/products/ank/generated/ANC-4076/ANC-4076-main.jpg,assets/products/ank/generated/ANC-4076/ANC-4076-full.jpg,assets/products/ank/generated/ANC-4076/ANC-4076-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4076/ANC-4076-detail.jpg,assets/products/ank/generated/ANC-4076/ANC-4076-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,76,검수필요,적용후보,재검수
ANC-4077,더블버튼 셔링 원피스,assets/products/ank/generated/ANC-4077/ANC-4077-main.jpg,assets/products/ank/generated/ANC-4077/ANC-4077-full.jpg,assets/products/ank/generated/ANC-4077/ANC-4077-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4077/ANC-4077-detail.jpg,assets/products/ank/generated/ANC-4077/ANC-4077-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,77,검수필요,재검수,적용후보
ANC-4078,배색라인 플레어 원피스,assets/products/ank/generated/ANC-4078/ANC-4078-main.jpg,assets/products/ank/generated/ANC-4078/ANC-4078-full.jpg,assets/products/ank/generated/ANC-4078/ANC-4078-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4078/ANC-4078-detail.jpg,assets/products/ank/generated/ANC-4078/ANC-4078-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,78,검수필요,적용후보,재검수
ANC-4079,버튼셔링 원피스,assets/products/ank/generated/ANC-4079/ANC-4079-main.jpg,assets/products/ank/generated/ANC-4079/ANC-4079-full.jpg,assets/products/ank/generated/ANC-4079/ANC-4079-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4079/ANC-4079-detail.jpg,assets/products/ank/generated/ANC-4079/ANC-4079-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,79,검수필요,재검수,적용후보
ANC-4080,레이스블라우스 셔링 원피스,assets/products/ank/generated/ANC-4080/ANC-4080-main.jpg,assets/products/ank/generated/ANC-4080/ANC-4080-full.jpg,assets/products/ank/generated/ANC-4080/ANC-4080-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4080/ANC-4080-detail.jpg,assets/products/ank/generated/ANC-4080/ANC-4080-product.jpg,적합,슬림핏 적용후보 승인,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,80,검수필요,적용후보,승인
ANC-4081,셔츠버튼 원피스,assets/products/ank/generated/ANC-4081/ANC-4081-main.jpg,assets/products/ank/generated/ANC-4081/ANC-4081-full.jpg,assets/products/ank/generated/ANC-4081/ANC-4081-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4081/ANC-4081-detail.jpg,assets/products/ank/generated/ANC-4081/ANC-4081-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,81,검수필요,적용후보,재검수
ANC-4082,더블버튼 플레어 원피스,assets/products/ank/generated/ANC-4082/ANC-4082-main.jpg,assets/products/ank/generated/ANC-4082/ANC-4082-full.jpg,assets/products/ank/generated/ANC-4082/ANC-4082-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4082/ANC-4082-detail.jpg,assets/products/ank/generated/ANC-4082/ANC-4082-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,82,검수필요,적용후보,재검수
ANC-4083,랩러플 셔링 원피스,assets/products/ank/generated/ANC-4083/ANC-4083-main.jpg,assets/products/ank/generated/ANC-4083/ANC-4083-full.jpg,assets/products/ank/generated/ANC-4083/ANC-4083-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4083/ANC-4083-detail.jpg,assets/products/ank/generated/ANC-4083/ANC-4083-product.jpg,적합,슬림핏 적용후보 승인,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,83,검수필요,적용후보,승인
ANC-4084,벨트포인트 플레어 원피스,assets/products/ank/generated/ANC-4084/ANC-4084-main.jpg,assets/products/ank/generated/ANC-4084/ANC-4084-full.jpg,assets/products/ank/generated/ANC-4084/ANC-4084-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4084/ANC-4084-detail.jpg,assets/products/ank/generated/ANC-4084/ANC-4084-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,84,검수필요,적용후보,재검수
ANC-4085,레이스블라우스 셔링 원피스,assets/products/ank/generated/ANC-4085/ANC-4085-main.jpg,assets/products/ank/generated/ANC-4085/ANC-4085-full.jpg,assets/products/ank/generated/ANC-4085/ANC-4085-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4085/ANC-4085-detail.jpg,assets/products/ank/generated/ANC-4085/ANC-4085-product.jpg,적합,슬림핏 적용후보 승인,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,85,검수필요,적용후보,승인
ANC-4086,빅리본 플레어 원피스,assets/products/ank/generated/ANC-4086/ANC-4086-main.jpg,assets/products/ank/generated/ANC-4086/ANC-4086-full.jpg,assets/products/ank/generated/ANC-4086/ANC-4086-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4086/ANC-4086-detail.jpg,assets/products/ank/generated/ANC-4086/ANC-4086-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,86,검수필요,적용후보,재검수
ANC-4087,랩카라 셔링 원피스,assets/products/ank/generated/ANC-4087/ANC-4087-main.jpg,assets/products/ank/generated/ANC-4087/ANC-4087-full.jpg,assets/products/ank/generated/ANC-4087/ANC-4087-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4087/ANC-4087-detail.jpg,assets/products/ank/generated/ANC-4087/ANC-4087-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,87,검수필요,재검수,적용후보
ANC-4088,퍼프소매 버튼 플레어 원피스,assets/products/ank/generated/ANC-4088/ANC-4088-main.jpg,assets/products/ank/generated/ANC-4088/ANC-4088-full.jpg,assets/products/ank/generated/ANC-4088/ANC-4088-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4088/ANC-4088-detail.jpg,assets/products/ank/generated/ANC-4088/ANC-4088-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,88,검수필요,적용후보,재검수
ANC-4089,레이스블라우스 셔링 원피스,assets/products/ank/generated/ANC-4089/ANC-4089-main.jpg,assets/products/ank/generated/ANC-4089/ANC-4089-full.jpg,assets/products/ank/generated/ANC-4089/ANC-4089-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4089/ANC-4089-detail.jpg,assets/products/ank/generated/ANC-4089/ANC-4089-product.jpg,적합,슬림핏 적용후보 승인,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,89,검수필요,적용후보,승인
ANC-4090,리본스트랩 플레어 원피스,assets/products/ank/generated/ANC-4090/ANC-4090-main.jpg,assets/products/ank/generated/ANC-4090/ANC-4090-full.jpg,assets/products/ank/generated/ANC-4090/ANC-4090-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4090/ANC-4090-detail.jpg,assets/products/ank/generated/ANC-4090/ANC-4090-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,90,검수필요,적용후보,재검수
ANC-4091,베스트버튼 셔링 원피스,assets/products/ank/generated/ANC-4091/ANC-4091-main.jpg,assets/products/ank/generated/ANC-4091/ANC-4091-full.jpg,assets/products/ank/generated/ANC-4091/ANC-4091-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4091/ANC-4091-detail.jpg,assets/products/ank/generated/ANC-4091/ANC-4091-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,91,검수필요,재검수,적용후보
ANC-4092,스트라이프뷔스티에 플레어 원피스,assets/products/ank/generated/ANC-4092/ANC-4092-main.jpg,assets/products/ank/generated/ANC-4092/ANC-4092-full.jpg,assets/products/ank/generated/ANC-4092/ANC-4092-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4092/ANC-4092-detail.jpg,assets/products/ank/generated/ANC-4092/ANC-4092-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,92,검수필요,적용후보,재검수
