code,상품명,거래처/브랜드,현재이미지유무,현재이미지개수,원본폴더명,현재카테고리,현재색상,현재사이즈,승인여부,검수결과,수정필요사항,실물대조필요,우선검수순번,대표컷적합여부,A라인검수,슬림핏검수,비고
ANC-4088,퍼프소매 버튼 플레어 원피스,앙크최,있음,1,ANC-4088,MINI,블랙+핑크,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,88,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4089,레이스블라우스 셔링 원피스,앙크최,있음,1,ANC-4089,MINI,옐로우+핑크,55 / 66 / 77,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,89,검수필요,적용후보,승인,5컷 미만. 쇼룸용 5컷 생성 후보 / 사용자 지정 코드 슬림핏 확정
ANC-4090,리본스트랩 플레어 원피스,앙크최,있음,1,ANC-4090,MINI,블랙,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,90,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4091,베스트버튼 셔링 원피스,앙크최,있음,1,ANC-4091,MINI,레드+블랙,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,91,검수필요,재검수,적용후보,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4092,스트라이프뷔스티에 플레어 원피스,앙크최,있음,1,ANC-4092,MINI,네이비스트라이프,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,92,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4093,스퀘어넥 포켓 원피스,앙크최,있음,1,ANC-4093,MINI,퍼플,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,93,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4094,버튼 플레어 원피스,앙크최,있음,1,ANC-4094,MINI,블랙,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,94,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4095,잔셔링 원피스,앙크최,있음,1,ANC-4095,MINI,핑크베이지,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,95,검수필요,재검수,적용후보,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4096,배색카라 플레어 원피스,앙크최,있음,1,ANC-4096,MINI,옐로우+블랙,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,96,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4097,스트라이프 니트 원피스,앙크최,있음,1,ANC-4097,MINI,핑크스트라이프,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,97,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4098,퍼프소매 플레어 원피스,앙크최,있음,1,ANC-4098,MINI,네이비,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,98,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
